id	final	Definition	WN_offset	WN_PoS	Concepticon_id	WOLD_id	NELex_id	ULD_id
Food:spoon.N	yes	An implement for eating or serving, a small bowl with a long straight handle.	4284002	n	1378	5-37	Löffel::N	1230
Food:steam (verb).V	no	A method of cooking using steam.			2067			
Food:stir fry.V	no	Stir frying (Chinese: 炒; pinyin: chǎo) is a Chinese cooking technique in which ingredients are fried in a small amount of very hot oil while being stirred in a wok.			2162			
Food:stir.V	no	To stir two or more substances together.			696		umrühren::V	
Food:stone (of fruit).N	no	The wooden shell found inside some fruits, particularly drupes, that surrounds the seed.			1762			
Food:storing pot.N	no	A vessel used for storing food or liquids.			3765			
Food:strain.V	no	To separate or isolate components from a liquid with the help of a filter.			940			
Food:strong (of drink).A	no	To have a very intense taste.			2718			
Food:suck.V	no	To draw in a substance by creating a practical vacuum in the mouth, and as a result a difference in pressure.	1169704	v	1421	5-16		
Food:sugar.N	no	A sweet crystalline or powdered substance, white when pure, consisting of sucrose obtained mainly from sugar cane and sugar beets and used in many foods, drinks, and medicines to improve their taste.	7859284	n	862	5-85		
Food:sugar.N	no	sugar						3452
Food:supper.N	yes	The last meal of the evening.				5-45		3489
Food:swallow.V	yes	The reflex in the human body that makes something pass from the mouth to the pharynx and into the esophagus, with the shutting of the epiglottis.	1201856	v	897	5-181	schlucken::V	724
Food:tapioca.N	no	Starch extracted from the root of manioc			3940			
Food:taste.N	no	The sensory impression of food or other substances on the tongue.			2190		Geschmack::N	
Food:tasteless.A	no	Having no flavour.			1771			
Food:tasty.A	no	Pleasing to the sense of taste.			1813		lecker::A	
Food:thirst.N	no	A physiological need to drink.			848			
Food:thirsty.A	no	Feeling the need to drink.			847			
Food:tofu.N	no	Coagulated soy milk that is bland in taste and formed into solid blocks; a popular ingredient in Asian and vegetarian cuisine.			3443	5-9992		
Food:tongs.N	no	A tool that consists of two movable bars joined at one end, used to pick up an object.	4450749	n	272	5-391		
Food:tortilla.N	no	A thin, flat bread made from maize flour, eaten hot or cold, typically with a savoury filling.			3991	5-99921		
Food:trivet.N	no	A stand, usually metallic, used to support cooking vessels on top of fire.			3264			
Food:uncooked rice.N	no	Rice that has not been boiled or otherwise prepared for eating.			3289			
Food:unripe.A	no	That is not yet ripe (edible fruit), usually hard and sour.	1493897	a	1958	5-124		
Food:vegetables.N	no	Any of various herbaceous plants having parts that are used as food.	7707451	n	924	5-65		
Food:viands (provisions).N	no	Provisions of food.			2550			
Food:vinegar.N	no	A sour liquid formed by the fermentation of alcohol with acetic acid bacteria used as a condiment or preservative.			985	5-99922		3467
Food:wanton.N	no	Stuffed dough wrap found in Chinese cuisine.			1980			
Food:water pot.N	no	A vessel used for storing water.			3766			
Food:watery.A	no	(Of a liquid or meal) to be thin and watery.			3545			
Food:white (of eggs).N	no	The clear, semifluid part of a bird's egg that serves as protection for the yolk.			3439			
Food:white sugar.N	no	Purified sugar that is separated from molasses in the process of refining.			3441			
Food:wine.N	no	An alcoholic beverage made by fermenting juice of grapes.	7891726	n	1524	5-92		
Food:wine.N	no	wine						3480
Food:wok.N	no	A versatile round-bottomed cooking vessel, originated from China.			2056			
Food:yeast.N	no	Many species of unicellular fungi, most of which belong to the Ascomycetes and reproduce by budding. The genus Saccharomyces is used in brewing and winemaking because in low oxygen concentration it produces zymase, an enzyme system that breaks down sugars to alcohol and carbon dioxide. Saccharomyces is also used in bread-making. Some yeasts are used as a source of protein and of vitamins of the B group. (Source: ALL)			967			
Food:yogurt.N	no	yogurt						3443
Food:yolk.N	no	The yellow, spherical part of an egg that is surrounded by the white albumen, and serves as nutriment for the growing young.	7841345	n	1556	5-971		
Form:arch.N	no	arch						3515
Form:band.N	no	band, tape, flat strip						3560
Form:bend (sth).V	yes	To carry out a movement to turn something into a curved shape.			2224		biegen::V	
Form:bend.V	yes	Movement that causes the formation of a curve.	1280014	v	2004	9-14	beugen::V	
Form:block.N	no	block (solid flat-surfaced mass of material)						3561
Form:branch.N	no	branch (small part going out from main part)						3573
Form:break.V	yes	To divide or be divided into pieces and thereby damaged.	334996	v	680	9-26	brechen::V	
Form:broken.A	yes	Not capable of working or broken into pieces.			588			
Form:bump.N	no	bump, protrusion						3544
Form:circle.N	no	circle						3518
Form:cleave.V	yes	To divide something with force in two or more parts.			2558		zerbrechen::V	
Form:coil.N	no	coil						3522
Form:collapse.V	yes	To fall down suddenly because of pressure or having no strength or support.			3986			
Form:cone.N	no	cone						3528
Form:crack.N	no	crack, fissure						3541
Form:cross.N	no	cross (perpendicular intersection of linear items)						3530
Form:crystal.N	no	crystal						3563
Form:cube.N	no	cube						3533
Form:curve.N	no	curve						3514
Form:cylinder.N	no	cylinder						3523
Form:dent.N	no	dent, nick, indentation						3545
Form:disk.N	no	disk, disc						3524
Form:drop.N	no	drop (of liquid)						3564
Form:dust.N	no	dust						3588
Form:explode.V	yes	To burst violently as a result of internal pressure.			3976			
Form:film.N	no	film (very thin layer)						3565
Form:flared.A	no	flared (opening up or spreading out from axis)						3571
Form:foam.N	no	foam, froth						3580
Form:fold.V	yes	To bend a thin material (such as paper) over so that it comes in contact with itself.	1277974	v	1470	9-15		
Form:form.N	no	form, shape						3510
Form:furrow.N	no	furrow, rut, groove						3546
Form:gas.N	no	gas						3502
Form:get broken.V	yes	To come apart or split into pieces (intransitive).			3020			
Form:helix.N	no	A corkscrew-shaped object.						3521
Form:hole.N	no	hole						3542
Form:intact.A	yes	That has not been impaired or altered; lacking nothing essential, especially not damaged.			220			
Form:jelly.N	no	jelly (gelatinous semi-solid material), gel				5-99912		3581
Form:juice.N	no	juice (fluid extracted from something)						3583
Form:layer.N	no	layer						3566
Form:line.N	no	line (series of contiguous points)						3512
Form:liquid.N	no	liquid						3503
Form:loop.N	no	loop, circuit, closed curve						3516
Form:lump.N	no	lump, clod, blob, piece of no particular shape						3568
Form:mark.N	no	mark (visible traces left behind)				15-99905		3551
Form:matter.N	no	matter, material						3501
Form:object.N	no	object (concrete tangible thing)						3500
Form:opening.N	no	opening, orifice						3543
Form:oval.N	no	oval, ellipse						3517
Form:paste.N	no	paste (any thick soft dough-like material)						3582
Form:pile.N	no	pile, heap						3569
Form:plane.N	no	plane (flat surface)						3511
Form:powder.N	no	powder						3589
Form:ray.N	no	ray						3513
Form:rectangle.N	no	rectangle						3531
Form:scratch.N	no	scratch						3547
Form:shattered.A	yes	Broken into pieces.			3191			
Form:sheet.N	no	sheet (thin rectangle of paper/cloth/etc.)						3567
Form:shower.N	no	shower, sprinkle						3584
Form:smoke.N	no	smoke						3586
Form:solid.N	no	solid (not a gas or liquid)						3504
Form:sphere.N	no	sphere						3525
Form:spike.N	no	spike, barb						3574
Form:spiral.N	no	spiral, whorl						3520
Form:square.N	no	square						3532
Form:stripe.N	no	stripe						3550
Form:surface.N	no	surface						3540
Form:swelling.N	no	swelling, inflation						3572
Form:tapered.A	no	tapered (becoming narrower toward an end)						3570
Form:torus.N	no	torus, ring (any 3D object shaped like a ring)						3519
Form:triangle.N	yes	A triangle is a polygon with three corners and three sides, one of the basic shapes in geometry						3526
Form:vacuum.N	no	vacuum						3505
Form:vapor.N	no	vapor, mist						3587
Form:wave.N	no	wave						3585
Form:wedge.N	no	wedge						3527
Form:wrinkle.N	no	wrinkle, crease						3548
Function word:also.ADV	no	also, too						240
Function word:and.CNJ	no	and						230
Function word:any.A	no	any (no particular one of)						222
Function word:be.V	no	"be (predicative copula as in ""I am a man"") "						201
Function word:become.V	no	become (begin to be; acquire the quality...)						203
Function word:but.CNJ	no	but, however						231
Function word:cause.V	no	cause (induce something to be/happen)						204
Function word:do.V	no	do, perform, engage in (specified activity)						206
Function word:each.A	no	each, every						223
Function word:exist.V	no	exist						202
Function word:have.V	no	have (possess / be furnished with)						207
Function word:here.ADV	no	here (in/to this place)						250
Function word:how?.ADV	no	how? (in what manner?)						260
Function word:i.ADP	no	I (nom), me (acc)						281
Function word:if.CNJ	no	if (on condition that...; supposing that...)						232
Function word:make.V	no	"make, render (impart quality X to Y; e.g. ""I make you happy"") "						205
Function word:miss.N	no	Miss						273
Function word:mister.N	no	Mister, Mr.						271
Function word:mrs..N	no	Mrs.						274
Function word:ms..N	no	Ms., Miss/Mrs.						272
Function word:no.A	no	no (not any; not even one of)						225
Function word:not.ADV	no	not						242
Function word:only.ADV	no	"only (exclusively or ""solitarily""), solely "						243
Function word:or.CNJ	no	or						233
Function word:san.N	no	san (honorific さん in Japanese; no English equivalent)						270
Function word:should.V	no	should, ought to (is/are expected/advised to ...)						209
Function word:that.CNJ	no	"that (e.g. ""I know that you are right"") "						234
Function word:that.CNJ	no	"The relative conjunction, as in ""study the language that/which appeals to you""."				24-99917		280
Function word:that.PRN	no	that (demonstrative)						221
Function word:there.ADV	no	there (at/to that place)						251
Function word:this.PRN	no	this (demonstrative)						220
Function word:what?.A	no	what? (which thing out of several?), which?						224
Function word:when?.ADV	no	when? (at what time?)						261
Function word:where?.ADV	no	where? (at/to what place?)						252
Function word:why?.ADV	no	why? (for what reason?)						262
Function word:you.ADP	no	you (singular)						282
Function:1DU EXCL.PRO	yes	Exclusive dual of the first person: I and exactly one other person, but not the addressed person (you).			2636			
Function:1DU INCL.PRO	yes	Inclusive dual of the first person: I and exactly one other person, including the addressed person (you).			2637	24-99914		
Function:1DU.PRO	yes	The speaker and exactly one other person.			2634			
Function:1PL EXCL.PRO	yes	Exclusive we: I and at least one other person, but not the addressed person (you) (pronoun 1st person plural without 2nd person).			1130	2-942		
Function:1PL INCL.PRO	yes	Inclusive we: I and at least one other person, including the addressed person(s) (pronoun 1st person plural with 2nd person).			1131	2-941		
Function:1PL OBL.PRO	yes	Oblique case of the first person plural pronoun.			2310			
Function:1PL POSS.PRO	yes	Belonging to us; of us.			780			
Function:1PL.PRO	yes	The speaker or writer and at least one other person.			1212	2-94	wir::PRN	
Function:1SG OBL.PRO	yes	Oblique cases of the first person singular pronoun.			2301			
Function:1SG POSS.PRO	yes	Belonging to me.			2090			
Function:1SG.PRO	yes	The speaker or writer referring to himself or herself alone.			1209	2-91	ich::PRN	
Function:2 POSS.PRO	yes	Belonging to the second person that is addressed by the first person.			2091			
